,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
183,991,24,METRO12580MM0721,"Columbia city, MD HUD Metro FMR Area",1370,1414,1652,2318,2594,MD,88254.0
184,992,24,METRO19060M19060,"Cumberland, MD-WV MSA",475,538,644,849,1066,MD,74930.0
185,993,24,METRO25180MM3180,"Hagerstown, MD HUD Metro FMR Area",636,701,890,1266,1305,MD,131923.0
187,995,24,METRO41540M41540,"Salisbury, MD HUD Metro FMR Area",680,812,965,1198,1368,MD,84644.0
189,1005,25,METRO12700M12700,"Barnstable Town, MA MSA",824,978,1268,1515,1562,MA,222230.0
190,1006,25,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",1194,1268,1483,1826,2131,MA,3208714.0
191,1007,25,METRO14460MM1200,"Brockton, MA HUD Metro FMR Area",1026,1075,1350,1613,2034,MA,237393.0
192,1008,25,METRO14460MM4160,"Lawrence, MA-NH HUD Metro FMR Area",817,1027,1259,1503,1550,MA,264873.0
193,1009,25,METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",890,1053,1371,1638,1804,MA,290772.0
194,1010,25,METRO38340M38340,"Pittsfield, MA HUD Metro FMR Area",628,741,899,1149,1183,MA,84699.0
195,1012,25,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",797,872,1017,1217,1551,MA,233064.0
196,1013,25,METRO39300MM1120,"Taunton-Mansfield-Norton, MA HUD Metro FMR Area",752,914,1159,1428,1472,MA,108350.0
197,1014,25,METRO39300MM1200,"Easton-Raynham, MA HUD Metro FMR Area",896,1190,1382,1824,2280,MA,34038.0
198,1015,25,METRO39300MM5400,"New Bedford, MA HUD Metro FMR Area",632,789,892,1066,1404,MA,159226.0
199,1016,25,METRO44140M44140,"Springfield, MA HUD Metro FMR Area",623,745,930,1126,1289,MA,612256.0
200,1018,25,METRO49340M49340,"Worcester, MA HUD Metro FMR Area",760,860,1041,1246,1328,MA,500104.0
201,1020,25,METRO49340MM2600,"Fitchburg-Leominster, MA HUD Metro FMR Area",731,802,1017,1250,1359,MA,139439.0
202,1024,26,METRO11460M11460,"Ann Arbor, MI MSA",732,818,993,1332,1476,MI,322895.0
203,1025,26,METRO12980M12980,"Battle Creek, MI MSA",507,593,730,883,910,MI,137985.0
204,1026,26,METRO13020M13020,"Bay City, MI MSA",463,535,638,882,907,MI,110157.0
