,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
180,6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",1091,1338,1679,2228,2393,CA,1731183
181,6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",954,1121,1323,1900,2084,CA,1682585
183,6,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",780,931,1139,1658,1750,CA,246681
184,6,METRO42060M42060,"Santa Barbara-Santa Maria-Goleta, CA MSA",1149,1297,1522,1921,2313,CA,399347
185,6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",1045,1229,1608,2341,2505,CA,255602
186,6,METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",789,955,1194,1738,2020,CA,458614
187,6,METRO44700M44700,"Stockton, CA MSA",702,790,968,1338,1702,CA,563598
188,6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",943,1024,1173,1614,1953,CA,394542
189,6,METRO47300M47300,"Visalia-Porterville, CA MSA",531,563,647,944,971,CA,368021
190,6,METRO49700M49700,"Yuba City, CA MSA",544,616,746,1085,1308,CA,139149
212,8,METRO14500M14500,"Boulder, CO MSA",735,835,1057,1540,1841,CO,269814
