,State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
272,9,METRO35300MM1160,"Milford-Ansonia-Seymour, CT HUD Metro FMR Area",894,971,1124,1412,1521,CT,113771
273,9,METRO35300MM5480,"New Haven-Meriden, CT HUD Metro FMR Area",777,882,1065,1275,1457,CT,523037
274,9,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",574,735,883,1058,1130,CT,187200
275,9,METRO35980M35980,"Norwich-New London, CT HUD Metro FMR Area",645,781,918,1133,1257,CT,237630
276,9,METRO35980MM3280,"Colchester-Lebanon, CT HUD Metro FMR Area",688,805,1058,1265,1306,CT,21458
279,10,METRO20100M20100,"Dover, DE MSA",637,691,766,1037,1330,DE,126697
280,10,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",724,826,988,1208,1457,DE,500265
282,11,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",995,1134,1286,1659,2171,DC,572059
283,12,METRO15980M15980,"Cape Coral-Fort Myers, FL MSA",647,709,808,1107,1138,FL,440888
284,12,METRO19660M19660,"Deltona-Daytona Beach-Ormond Beach, FL MSA",581,624,774,998,1029,FL,443343
285,12,METRO23020M23020,"Fort Walton Beach-Crestview-Destin, FL MSA",534,614,692,1009,1142,FL,170498
286,12,METRO23540M23540,"Gainesville, FL MSA",535,614,698,1019,1050,FL,232392
287,12,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",641,715,838,1069,1244,FL,1100491
289,12,METRO29460M29460,"Lakeland, FL MSA",501,548,633,833,979,FL,483924
290,12,METRO33100MM2680,"Fort Lauderdale, FL HUD Metro FMR Area",784,877,1054,1458,1851,FL,1623018
291,12,METRO33100MM5000,"Miami-Miami Beach-Kendall, FL HUD Metro FMR Area",800,909,1090,1413,1664,FL,2253362
292,12,METRO33100MM8960,"West Palm Beach-Boca Raton, FL HUD Metro FMR Area",764,895,1057,1495,1540,FL,1131184
293,12,METRO34940M34940,"Naples-Marco Island, FL MSA",758,840,937,1197,1435,FL,251377
294,12,METRO36100M36100,"Ocala, FL MSA",529,558,641,879,904,FL,258916
295,12,METRO36740M36740,"Orlando-Kissimmee, FL MSA",697,759,864,1090,1332,FL,1644561
296,12,METRO37340M37340,"Palm Bay-Melbourne-Titusville, FL MSA",518,638,739,1016,1163,FL,476230
297,12,METRO37460M37460,"Panama City-Lynn Haven, FL MSA",549,567,662,931,1033,FL,148217
298,12,METRO37860M37860,"Pensacola-Ferry Pass-Brent, FL MSA",533,580,644,938,1131,FL,412153
299,12,METRO38940M38940,"Port St. Lucie-Fort Pierce, FL MSA",615,621,778,1003,1032,FL,319426
300,12,METRO39460M39460,"Punta Gorda, FL MSA",524,586,737,1075,1296,FL,141627
301,12,METRO42260M42260,"Sarasota-Bradenton-Venice, FL MSA",650,712,857,1094,1202,FL,589959
302,12,METRO42680M42680,"Sebastian-Vero Beach, FL MSA",514,612,782,960,988,FL,112947
303,12,METRO45220M45220,"Tallahassee, FL HUD Metro FMR Area",556,611,769,1036,1066,FL,297441
305,12,METRO45300M45300,"Tampa-St. Petersburg-Clearwater, FL MSA",647,725,872,1123,1369,FL,2395997
335,13,METRO10500M10500,"Albany, GA MSA",493,520,592,791,874,GA,157833
337,13,METRO12060M12060,"Atlanta-Sandy Springs-Marietta, GA HUD Metro FMR Area",693,752,837,1037,1163,GA,4164323
343,13,METRO15260M15260,"Brunswick, GA MSA",491,534,592,849,1041,GA,93044
344,13,METRO16860M16860,"Chattanooga, TN-GA MSA",522,556,649,825,918,GA,129489
346,13,METRO19140M19140,"Dalton, GA HUD Metro FMR Area",494,536,594,781,805,GA,83525
